PairID;BrAttempt;EggDate;HatchDate;ChickGoneDate;EggLossDate;FailureCause;BreedSucc;EggPosX;EggPosY;EggExact;HatchExact;FledgeExact;ChickMinAge;Comment
Rost-3-2018-2;1;2018-05-10;2018-06-12;2018-07-02;;;1;127;NA;1;1;1;20;
Triangle-3-2018-1;1;2018-05-10;2018-06-13;2018-07-05;;;1;251;Inner;1;1;1;22;
Rost-3-2018-3;1;2018-05-10;2018-06-12;2018-07-04;;;1;145;Inner;1;1;1;22;
Farallon-4-2018-1;1;2018-05-11;2018-06-14;2018-07-03;;;1;123;Inner/middle;1;1;1;19;
Farallon-1-2018-2;1;2018-05-11;;;2018-07-15;;0;192;Inner;1;NA;NA;NA;
Bonden-4-2018-1;1;2018-05-11;2018-06-13;2018-07-05;;;1;128;Inner/middle;1;1;1;22;
Farallon-1-2018-1;1;2018-05-11;2018-06-14;2018-07-04;;;1;237;Inner/middle;1;3;2;19;
Farallon-2-2018-1;1;2018-05-11;2018-06-13;2018-07-04;;;1;101;Inner;1;2;1;21;
Triangle-2-2018-1;1;2018-05-12;2018-06-13;2018-07-04;;;1;167;Inner/middle;1;1;1;21;
Bonden-4-2018-2;1;2018-05-12;2018-06-15;2018-07-06;;;1;152;Inner/middle;1;1;1;21;
Farallon-1-2018-3;1;2018-05-12;2018-06-14;2018-07-04;;;1;151;Inner/middle;1;2;1;20;
Farallon-1-2018-4;1;2018-05-12;2018-06-14;2018-07-04;;;1;216;Inner;1;1;1;20;
Farallon-3-2018-3;1;2018-05-12;2018-06-15;2018-07-04;;;1;221;Inner/middle;1;1;1;19;
Bonden-4-2018-3;1;2018-05-12;2018-06-14;2018-07-04;;;1;176;Middle/outer;1;1;1;20;
Farallon-3-2018-4;1;2018-05-12;2018-06-15;2018-07-04;;;1;248;Inner;1;2;1;19;
Rost-3-2018-4;1;2018-05-12;2018-06-13;2018-07-04;;;1;168;Middle;1;1;1;21;
Farallon-3-2018-5;1;2018-05-13;2018-06-15;2018-07-04;;;1;140;Inner;1;1;1;19;
Bonden-2-2018-1;1;2018-05-14;2018-06-17;2018-07-06;;;1;108;Inner;1;4;2;18;U stod inte med på parlappen i hyllan
Farallon-4-2018-2;1;2018-05-14;2018-06-15;2018-07-05;;;1;181;Inner/middle;1;1;1;20;
Bonden-4-2018-4;1;2018-05-15;2018-06-17;2018-07-11;;;1;101;Middle;1;1;1;24;
Triangle-1-2018-1;1;2018-05-15;;;2018-06-08;;0;200;Inner;1;NA;NA;NA;Ä1 förlorat 8/6.
Bonden-5-2018-1;1;2018-05-15;2018-06-18;2018-07-06;;;1;136;Middle;1;2;1;18;
Triangle-1-2018-2;1;2018-05-15;2018-06-16;2018-07-05;;;1;248;Middle;1;1;1;19;
Rost-5-2018-2;1;2018-05-16;2018-06-15;2018-07-07;;;1;160;Middle;1;1;1;22;
Triangle-2-2018-3;1;2018-05-16;2018-06-17;2018-07-04;;;1;251;NA;1;3;1;17;
Triangle-2-2018-2;1;2018-05-16;2018-06-18;2018-07-06;;;1;115 -> 150;NA;1;1;1;18;
Farallon-1-2018-5;1;2018-05-16;2018-06-18;2018-07-10;;;1;102;Inner;1;1;1;22;
Bonden-6-2018-1;1;2018-05-17;2018-06-20;2018-07-10;;;1;162;Inner;1;1;1;20;
Rost-2-2018-5;1;2018-05-17;;;2018-06-30;;0;100;NA;1;NA;NA;NA;Ä1 förlorat 30/6. Saknade parlapp på hyllan.
Triangle-2-2018-4;1;2018-05-17;2018-06-20;2018-07-05;;;1;177;Inner;1;1;1;15;
Bonden-5-2018-2;1;2018-05-18;2018-06-23;2018-07-11;;;1;124;Middle;1;1;1;18;U stod inte med på parlappen i hyllan
Rost-5-2018-3;1;2018-05-18;;;2018-06-03;Human disturbance;0;130;Middle;1;NA;NA;NA;Ä1 förlorat 3/6, troligen pga äggfotostudio. EJ MED I BERÄKNINGARNA.
Triangle-2-2018-5;1;2018-05-19;;;2018-06-18;;0;198;Inner/middle;1;NA;NA;NA;Ä1 förlorat 18/6
Triangle-1-2018-3;1;2018-05-19;2018-06-23;2018-07-11;;;1;179;Inner;1;1;1;18;
Rost-3-2018-5;1;2018-05-19;;;2018-06-03;;0;117;Inner;1;NA;NA;NA;Ä1 förlorat 3/6 2018.
Rost-3-2018-1;2;2018-05-22;;;;;1;NA;NA;1;1;1;16;
Triangle-3-2018-2;1;2018-05-23;;;;;1;184;Middle/outer;1;NA;NA;NA;Ä1 förlorat 27/5
Farallon-3-2018-6;1;2018-05-24;;;2018-06-27;;0;191;Inner;1;NA;NA;NA;Ä1 förlorat 27/6
Farallon-3-2018-7;1;2018-05-24;2018-06-25;2018-07-11;;;1;120;Middle;1;1;1;16;
Bonden-6-2018-2;1;2018-05-26;2018-06-28;2018-07-15;;;1;180;Inner;1;1;1;17;
Farallon-5-2018-1;1;2018-05-27;2018-07-02;2018-07-15;;;0;237;Middle;1;1;1;13;U för ung vid försvinnande för att kunna räknas som flygg. Med i beräkningarna.
Rost-6-2018-2;1;2018-05-27;;;2018-06-01;;0;170;Middle;1;NA;NA;NA;Ä1 förlorat 1/6.
Bonden-5-2018-3;1;2018-05-28;2018-07-03;2018-07-21;;;NA;100;Middle;1;2;3;16;Skakig närvaro av förälder på slutet, ungen är ofta ensam. Dessutom var häckningen inte klar den 16:e (även om obsar gjordes senare än så). Därmed EJ MED I BERÄKNINGARNA.
Rost-6-2018-3;1;2018-05-30;;;2018-06-13;;0;120;Middle;1;NA;NA;NA;Ä1 förlorat 13/6
Farallon-4-2018-3;1;2018-06-03;2018-07-07;2018-07-11;;;0;100;Inner/middle;1;2;NA;NA;U1 förlorad  11/7
